	SOM	OC	IS	DEP	ANX	HOS	PHOB	PAR	PSY	PANSSP_SUM_w0	PANSSN_SUM_w0	PANSSG_SUM_w0	PANSSTotal_w0
SOM	0	-0.028941653	0	0	0.244952827	0.211633755	0.00890823	-0.041104942	0.213171358	0.014991398	-0.067505443	0	0.019545964
OC	-0.028941653	0	0.133005323	0.455556585	0.171252573	0.059471051	0	0	0.214045214	-0.066748903	0.044046281	0	0
IS	0	0.133005323	0	0.174434995	0	0.174325722	0.304567434	0.461685363	0.071010288	-0.063913341	0.006824114	0.011265979	0
DEP	0	0.455556585	0.174434995	0	0.196965264	0.008567804	-0.01220785	-0.037876341	0.158064276	0	0	0	0
ANX	0.244952827	0.171252573	0	0.196965264	0	0.153974292	0.345857806	-0.042922744	0.064177969	0.022062356	-0.058698585	0.037941295	0
HOS	0.211633755	0.059471051	0.174325722	0.008567804	0.153974292	0	0.082065513	0.108584867	-0.030932611	0	-0.030236189	0	0.012545311
PHOB	0.00890823	0	0.304567434	-0.01220785	0.345857806	0.082065513	0	0.009086068	0.070167487	0.067516999	0.103337824	-0.067785754	0
PAR	-0.041104942	0	0.461685363	-0.037876341	-0.042922744	0.108584867	0.009086068	0	0.296655433	0.082816161	-0.019726225	-0.013576324	0
PSY	0.213171358	0.214045214	0.071010288	0.158064276	0.064177969	-0.030932611	0.070167487	0.296655433	0	0.037564179	-0.027103212	0	0
PANSSP_SUM_w0	0.014991398	-0.066748903	-0.063913341	0	0.022062356	0	0.067516999	0.082816161	0.037564179	0	-0.578072626	-0.376603619	0.724763877
PANSSN_SUM_w0	-0.067505443	0.044046281	0.006824114	0	-0.058698585	-0.030236189	0.103337824	-0.019726225	-0.027103212	-0.578072626	0	-0.417144946	0.734032683
PANSSG_SUM_w0	0	0	0.011265979	0	0.037941295	0	-0.067785754	-0.013576324	0	-0.376603619	-0.417144946	0	0.847971337
PANSSTotal_w0	0.019545964	0	0	0	0	0.012545311	0	0	0	0.724763877	0.734032683	0.847971337	0
